question_id,question,reference_answer,source_doi
34,What impact do albedo changes have on the climate mitigation potential of afforestation?,"Albedo changes can substantially reduce or even negate the climate mitigation potential of afforestation. In some regions (e.g., drylands and boreal areas), the albedo effect offsets most or all of the carbon removal benefits, with global carbon-only estimates being up to 81% too high if albedo is ignored. However, there are still locations across all biomes where afforestation provides net positive climate mitigation benefits.",10.1038/s41467-024-46577-1
35,What is the primary driver of changes to North American inland wetlands in simulations of future climate change?,"Changes to North American wetland areas are primarily driven by precipitation in low-emission scenarios, but by temperature and increased evaporation under high-emission scenarios. Thus, the primary driver shifts from precipitation to temperature depending on the severity of global warming.",10.1038/s41467-024-45286-z
36,What is the relationship between Antarctic ice volume and local temperature during the late Holocene?,"During the late Holocene, Antarctic ice volume shows a significant correlation (about 0.4-0.6) with local temperature records from the West Antarctic Divide ice core. Ice volume lags annual air temperature by roughly 250-650 years and summer air temperature by 250-500 years, indicating that changes in temperature precede changes in ice volume.",10.1038/s41467-024-54535-0
37,What methods can be used to update extinction risk assessments for tree species to account for recent changes in anthropogenic threats?,"Data-driven methods that quantify recent changes in threats such as urban expansion, tree cover loss, deforestation, and climate change can help identify species requiring re-evaluation, especially when combined with expert-based IUCN Red List knowledge.",10.1038/s41467-023-44321-9
38,What percentage of the global population is in favor of climate action?,"There is widespread support for climate action in the global population, with a clear majority in favor. 69% would be willing to contribute?1% of their income toward climate action, 86% endorse pro?climate social norms, and 89% demand stronger political action.",10.1038/s41558-024-01925-3
39,What process mainly drives the enhanced CO? uptake in the open ocean?,"The enhanced CO? uptake in the open ocean is mainly driven by physical and chemical processes, which account for about 96% of the strengthening of the open ocean CO? sink in recent decades. The chemically driven component accounts for about 71% and physical circulation for 24%.  Biological processes contribute only a minor share (about 5%).",10.1038/s41558-024-01956-w
40,"When did the Antarctic Ice Sheet reach its minimum extent during the Holocene, and how does this relate to temperature and insolation changes?","The Antarctic Ice Sheet reached its minimum extent around 2 ka, when it was about 0.3 m (-0.5 to 0.9 m) smaller in global mean sea-level equivalent than pre-industrial levels. This minimum followed a period after 3.9 ka when the ice sheet was already smaller than present and corresponds closely with variations in West Antarctic terrestrial temperature and summer insolation.",10.1038/s41467-024-54535-0
41,"Which fast tipping elements become at risk if global warming exceeds 2 °C or remains between 1.5 °C and 2 °C for a century, and what role could they play in tipping cascades?","If global warming rises above 2 °C, or stays between 1.5 °C and 2 °C for a centennial timescale, fast tipping elements such as the Atlantic Meridional Overturning Circulation (AMOC) and the Amazon rainforest are at risk of tipping. These elements could then initiate cascading transitions on much faster timescales than the large ice sheets.",10.5194/esd-15-41-2024
43,Why are Arctic isoprene emissions so sensitive to temperature changes?,"Certain types of sedges have been identified as the main source of the strong response of isoprene emissions in Arctic ecosystems to rising temperatures. In plant-chamber experiments, the isoprene emissions of these sedges increase by much more than those of other isoprene emitters when temperatures rise.",10.1038/s41467-024-49960-0
44,Why are global mean sea level (GMSL) and global temperature considered decoupled during the Holocene?,"GMSL and global temperature are decoupled during the Holocene because GMSL is mainly controlled by polar ice mass changes, which respond much more slowly to temperature shifts lagging by decades to millennia compared to the global mean temperature that reflects insolation variations across all latitudes. As a result, the timing of maximum GMSL does not align with the timing of peak global temperatures.",10.1038/s41467-024-54535-0
45,Why are global warming levels (GWLs) increasingly used instead of fixed time horizons in climate projections?,"Global warming levels (GWLs) are used instead of fixed time horizons because they reduce scenario uncertainty, allow comparisons across emission pathways and model sensitivities, provide more policy-relevant and actionable information (especially on extremes), and avoid the limitations of fixed horizons like 2100.",10.5194/esd-15-589-2024
46,Why are marine isoprene emissions significant for atmospheric composition and climate?,"Marine isoprene emissions are significant because, in relatively pristine marine air, they influence atmospheric composition by altering the oxidative capacity and affect climate through the formation of secondary organic aerosols (SOA) and clouds.",10.1038/s41467-024-46744-4
47,"Why does the ""emergent constraint on equilibrium climate sensitivity from global temperature variability"" work for CMIP5 and not CMIP6?","The emergent constraint on equilibrium climate sensitivity (ECS) from global temperature variability, as proposed in CHW18, works for CMIP5 but not for CMIP6 because one of the key assumptions in CHW18 that ECS and the internal variability parameter show low correlation and variation holds true for CMIP5 models but not for CMIP6. When this correlation is properly accounted for, the emergent relationship reappears in both CMIP5 and CMIP6, showing that the theoretical framework of CHW18 remains valid. However, an emergent constraint cannot currently be applied to CMIP6 because observational estimates of the internal variability parameter are too uncertain.",10.5194/esd-15-829-2024
48,Why does the soil microbial carbon use efficiency (CUE) increase in some forests but decrease in others under global warming?,"Whether the soil microbial carbon use efficiency (CUE) increases or decreases with rising temperatures depends on the climate. In cold forests (with a mean annual temperature below 10 °C), CUE tends to decrease with rising temperatures, while it tends to increase in warm forests (mean annual temperature above 10 °C).",10.1038/s41467-024-50593-6
49,"Why has the Thwaites Glacier in West Antarctica been nicknamed the ""Doomsday Glacier""?","The Thwaites Glacier has been nicknamed the ""Doomsday Glacier"" because it is undergoing the fastest recession in West Antarctica, its ice loss is currently responsible for roughly four percent of global sea-level rise due to climate change and ocean warming, and its continuous collapsing and melting pose a severe threat to humans.",10.62252/nss.2024.1005
50,Would the Oceans Become Toxic to Humanity Due to Use and Mismanagement of Plastics?,"The oceans could become toxic to humanity between 2398 and 2456 if microplastic discharge continues to grow, or between 2408 and 2472 if growth ends in 2020. If emissions had stopped in 2020, the oceans would not  become toxic. Remediation strategies such as reducing single-use plastics, raising awareness, and improving stormwater and wastewater treatment are described as ways to prevent oceans from becoming toxic to humanity.",10.3390/ijerph22010017
